Наименование блюда;Ккал;Белки;Жиры;Углеводы;Вес,г;На 100г;;;
Бургеры;;;;;;Ккал;Белки;Жиры;Углеводы
Крем-суп с лососем;301,87;17,02;20,05;14,09;242;124,7396694;7,033057851;8,285123967;5,82231405
Луковый суп;387,705;9,525;11,865;35,37;240;161,54375;3,96875;4,94375;14,7375
Минестроне;396,89;11,07;26,317;15,551;230;172,5608696;4,813043478;11,44217391;6,761304348
Суп Рамен с морепродуктами;362,089;18,363;3,299;65,911;270;134,107037;6,801111111;1,221851852;24,41148148
Суп из Лягушачьих лапок;293,097;24,286;6,712;33,126;350;83,742;6,938857143;1,917714286;9,464571429
Том Кха суп;324,11;19,166;9,651;53,258;200;162,055;9,583;4,8255;26,629
Том Ям суп;323,206;13,423;8,803;56,933;220;146,9118182;6,101363636;4,001363636;25,87863636
Суп Фо;273,323;31,258;10,766;23,752;255;107,1854902;12,25803922;4,221960784;9,314509804
Чикен рамен суп;401,023;23,79;4,895;44,531;310;129,3622581;7,674193548;1,579032258;14,36483871
Суп-капучино из шампиньонов;282,9;6,02;23,11;13,34;340;83,20588235;1,770588235;6,797058824;3,923529412
;;;;;;;;;
Наименование блюда;Ккал;Белки;Жиры;Углеводы;Вес,г;На 100г;;;
Жаренные роллы;;;;;;Ккал;Белки;Жиры;Углеводы
Бетакон темпура;461,27;9,802;15,472;74,278;167;276,2095808;5,869461078;9,264670659;44,47784431
Бетаон чиз маки;599,534;15,452;21,796;64,416;202;296,7990099;7,64950495;10,79009901;31,88910891
Бэб маки;536,682;18,72;20,036;74,914;217;247,318894;8,626728111;9,233179724;34,52258065
Данто ролл;505,594;12,065;10,336;71,291;197;256,6467005;6,124365482;5,246700508;36,18832487
Касан;394,184;13,172;7,866;70,825;173;227,8520231;7,613872832;4,546820809;40,93930636
Кицуне;390,414;13,914;6,525;72,815;173;225,6728324;8,042774566;3,771676301;42,08959538
Мауи ролл;370,628;11,578;5,297;73,305;173;214,2358382;6,692485549;3,061849711;42,37283237
Панко фри маки;516,902;14,033;10,944;70,872;212;243,8216981;6,619339623;5,162264151;33,43018868
Сарома темпура;358,94;13,096;1,701;77,226;187;191,9465241;7,003208556;0,909625668;41,2973262
